county_name,year,mean_burden_score
ALAMEDA,2012,0.586
ALAMEDA,2013,0.5834
ALAMEDA,2014,0.4861
ALAMEDA,2015,0.6037
ALAMEDA,2016,0.6126
ALAMEDA,2017,0.6113
ALAMEDA,2018,0.6045
ALAMEDA,2019,0.6028
ALAMEDA,2020,0.5006
ALAMEDA,2021,0.5302
ALAMEDA,2022,0.6077
ALAMEDA,2023,0.647
ALAMEDA,2024,0.6722
AMADOR,2012,0.2332
AMADOR,2013,0.2454
AMADOR,2014,0.2609
AMADOR,2015,0.2832
AMADOR,2016,0.3051
AMADOR,2017,0.3049
AMADOR,2018,0.2885
AMADOR,2019,0.298
AMADOR,2020,0.2722
AMADOR,2021,0.3073
AMADOR,2022,0.3466
AMADOR,2023,0.3455
AMADOR,2024,0.3464
BUTTE,2012,0.2852
BUTTE,2013,0.3038
BUTTE,2014,0.3084
BUTTE,2015,0.3521
BUTTE,2016,0.3653
BUTTE,2017,0.3646
BUTTE,2018,0.351
BUTTE,2019,0.3802
BUTTE,2020,0.3083
BUTTE,2021,0.3183
BUTTE,2022,0.3514
BUTTE,2023,0.1482
BUTTE,2024,0.1549
CALAVERAS,2012,0.1061
CALAVERAS,2013,0.119
CALAVERAS,2014,0.1351
CALAVERAS,2015,0.1563
CALAVERAS,2016,0.1729
CALAVERAS,2017,0.1691
CALAVERAS,2018,0.1505
CALAVERAS,2019,0.1407
CALAVERAS,2020,0.1296
CALAVERAS,2021,0.1377
CALAVERAS,2022,0.1413
CALAVERAS,2023,0.1386
CALAVERAS,2024,0.1461
COLUSA,2012,0.0738
COLUSA,2013,0.078
COLUSA,2014,0.09
COLUSA,2015,0.0958
COLUSA,2016,0.0294
COLUSA,2017,
COLUSA,2018,0.0875
COLUSA,2019,0.0855
COLUSA,2020,0.061
COLUSA,2021,0.0604
COLUSA,2022,0.0712
COLUSA,2023,0.0664
COLUSA,2024,0.0712
CONTRA COSTA,2012,0.544
CONTRA COSTA,2013,0.541
CONTRA COSTA,2014,0.5497
CONTRA COSTA,2015,0.5529
CONTRA COSTA,2016,0.6278
CONTRA COSTA,2017,0.6282
CONTRA COSTA,2018,0.6192
CONTRA COSTA,2019,0.6303
CONTRA COSTA,2020,0.4861
CONTRA COSTA,2021,0.5646
CONTRA COSTA,2022,0.6528
CONTRA COSTA,2023,0.6763
CONTRA COSTA,2024,0.7085
DEL NORTE,2012,0.274
DEL NORTE,2013,0.2587
DEL NORTE,2014,0.2478
DEL NORTE,2015,0.267
DEL NORTE,2016,0.2732
DEL NORTE,2017,0.2576
DEL NORTE,2018,0.2404
DEL NORTE,2019,0.2423
DEL NORTE,2020,0.1847
DEL NORTE,2021,0.1864
DEL NORTE,2022,0.2322
DEL NORTE,2023,0.2362
DEL NORTE,2024,0.2507
EL DORADO,2012,0.255
EL DORADO,2013,0.2733
EL DORADO,2014,0.2865
EL DORADO,2015,0.3021
EL DORADO,2016,0.2997
EL DORADO,2017,0.2905
EL DORADO,2018,0.3076
EL DORADO,2019,0.302
EL DORADO,2020,0.2438
EL DORADO,2021,0.2708
EL DORADO,2022,0.3062
EL DORADO,2023,0.3242
EL DORADO,2024,0.3292
FRESNO,2012,0.4835
FRESNO,2013,0.542
FRESNO,2014,0.5869
FRESNO,2015,0.6442
FRESNO,2016,0.64
FRESNO,2017,0.6811
FRESNO,2018,0.6734
FRESNO,2019,0.8182
FRESNO,2020,0.6855
FRESNO,2021,0.595
FRESNO,2022,0.6852
FRESNO,2023,0.7104
FRESNO,2024,0.7482
GLENN,2012,0.0717
GLENN,2013,0.0711
GLENN,2014,0.0679
GLENN,2015,0.0775
GLENN,2016,0.0904
GLENN,2017,0.0882
GLENN,2018,0.0797
GLENN,2019,0.0791
GLENN,2020,0.0629
GLENN,2021,0.0716
GLENN,2022,0.0888
GLENN,2023,0.0853
GLENN,2024,0.0829
HUMBOLDT,2012,0.1678
HUMBOLDT,2013,0.1952
HUMBOLDT,2014,0.1908
HUMBOLDT,2015,0.202
HUMBOLDT,2016,0.2072
HUMBOLDT,2017,0.2024
HUMBOLDT,2018,0.1904
HUMBOLDT,2019,0.1889
HUMBOLDT,2020,0.1558
HUMBOLDT,2021,0.1637
HUMBOLDT,2022,0.1862
HUMBOLDT,2023,0.1877
HUMBOLDT,2024,0.197
IMPERIAL,2012,0.5626
IMPERIAL,2013,0.5841
IMPERIAL,2014,0.6067
IMPERIAL,2015,0.629
IMPERIAL,2016,0.6261
IMPERIAL,2017,0.6262
IMPERIAL,2018,0.5842
IMPERIAL,2019,0.5744
IMPERIAL,2020,0.4594
IMPERIAL,2021,0.4655
IMPERIAL,2022,0.5336
IMPERIAL,2023,0.5021
IMPERIAL,2024,0.4355
INYO,2012,0.0614
INYO,2013,0.0584
INYO,2014,0.0615
INYO,2015,0.0649
INYO,2016,0.0723
INYO,2017,0.0744
INYO,2018,0.0701
INYO,2019,0.0677
INYO,2020,0.0526
INYO,2021,0.0583
INYO,2022,0.0691
INYO,2023,0.0728
INYO,2024,0.0746
KERN,2012,0.4258
KERN,2013,0.4418
KERN,2014,0.4697
KERN,2015,0.4909
KERN,2016,0.508
KERN,2017,0.5037
KERN,2018,0.4614
KERN,2019,0.5245
KERN,2020,0.4203
KERN,2021,0.4577
KERN,2022,0.4663
KERN,2023,0.5009
KERN,2024,0.5875
KINGS,2012,1.3187
KINGS,2013,1.3821
KINGS,2014,1.4731
KINGS,2015,1.5891
KINGS,2016,1.629
KINGS,2017,1.6032
KINGS,2018,1.4819
KINGS,2019,1.4291
KINGS,2020,1.137
KINGS,2021,1.1154
KINGS,2022,1.2774
KINGS,2023,1.3088
KINGS,2024,1.3131
LAKE,2012,0.2327
LAKE,2013,0.2389
LAKE,2014,0.2501
LAKE,2015,0.2695
LAKE,2016,0.2763
LAKE,2017,0.2801
LAKE,2018,0.2795
LAKE,2019,0.285
LAKE,2020,0.2257
LAKE,2021,0.24
LAKE,2022,0.2704
LAKE,2023,0.2694
LAKE,2024,0.2829
LASSEN,2012,0.1269
LASSEN,2013,0.1306
LASSEN,2014,0.1355
LASSEN,2015,0.1514
LASSEN,2016,0.1565
LASSEN,2017,0.1528
LASSEN,2018,0.1432
LASSEN,2019,0.1465
LASSEN,2020,0.1262
LASSEN,2021,0.1336
LASSEN,2022,0.1407
LASSEN,2023,0.1418
LASSEN,2024,0.1524
LOS ANGELES,2012,0.4832
LOS ANGELES,2013,0.4967
LOS ANGELES,2014,0.5298
LOS ANGELES,2015,0.5565
LOS ANGELES,2016,0.5799
LOS ANGELES,2017,0.6017
LOS ANGELES,2018,0.6067
LOS ANGELES,2019,0.6319
LOS ANGELES,2020,0.4658
LOS ANGELES,2021,0.4988
LOS ANGELES,2022,0.5757
LOS ANGELES,2023,0.5725
LOS ANGELES,2024,0.6001
MADERA,2012,0.7901
MADERA,2013,0.8438
MADERA,2014,0.9056
MADERA,2015,1.0394
MADERA,2016,1.048
MADERA,2017,1.0111
MADERA,2018,0.9429
MADERA,2019,0.9114
MADERA,2020,0.633
MADERA,2021,0.7087
MADERA,2022,0.7584
MADERA,2023,1.1306
MADERA,2024,1.2409
MARIN,2012,0.2925
MARIN,2013,0.3099
MARIN,2014,0.3052
MARIN,2015,0.3186
MARIN,2016,0.3188
MARIN,2017,0.3198
MARIN,2018,0.3156
MARIN,2019,0.3304
MARIN,2020,0.2562
MARIN,2021,0.2997
MARIN,2022,0.3359
MARIN,2023,0.3628
MARIN,2024,0.3762
MARIPOSA,2012,0.0699
MARIPOSA,2013,0.0682
MARIPOSA,2014,0.075
MARIPOSA,2015,0.081
MARIPOSA,2016,0.0837
MARIPOSA,2017,0.0971
MARIPOSA,2018,0.0919
MARIPOSA,2019,0.0904
MARIPOSA,2020,0.0747
MARIPOSA,2021,0.0778
MARIPOSA,2022,0.0901
MARIPOSA,2023,0.0935
MARIPOSA,2024,0.096
MENDOCINO,2012,0.1808
MENDOCINO,2013,0.1804
MENDOCINO,2014,0.1807
MENDOCINO,2015,0.1608
MENDOCINO,2016,0.2301
MENDOCINO,2017,0.2346
MENDOCINO,2018,0.2347
MENDOCINO,2019,0.2454
MENDOCINO,2020,0.1974
MENDOCINO,2021,0.2152
MENDOCINO,2022,0.2439
MENDOCINO,2023,0.2428
MENDOCINO,2024,0.2584
MERCED,2012,0.5619
MERCED,2013,0.5731
MERCED,2014,0.622
MERCED,2015,0.6776
MERCED,2016,0.6589
MERCED,2017,0.661
MERCED,2018,0.6206
MERCED,2019,0.6001
MERCED,2020,0.4769
MERCED,2021,0.5198
MERCED,2022,0.5833
MERCED,2023,0.6239
MERCED,2024,0.6394
MODOC,2012,0.0291
MODOC,2013,0.0287
MODOC,2014,0.0289
MODOC,2015,0.0324
MODOC,2016,0.0309
MODOC,2017,0.0349
MODOC,2018,0.0348
MODOC,2019,0.0347
MODOC,2020,0.0304
MODOC,2021,0.0361
MODOC,2022,0.0425
MODOC,2023,0.0398
MODOC,2024,0.0423
MONO,2012,0.1022
MONO,2013,0.1083
MONO,2014,0.1034
MONO,2015,0.113
MONO,2016,0.1269
MONO,2017,0.1184
MONO,2018,0.1393
MONO,2019,0.1421
MONO,2020,0.1121
MONO,2021,0.1306
MONO,2022,0.1557
MONO,2023,0.1497
MONO,2024,0.1461
MONTEREY,2012,0.4434
MONTEREY,2013,0.4627
MONTEREY,2014,0.4978
MONTEREY,2015,0.5447
MONTEREY,2016,0.5397
MONTEREY,2017,0.5519
MONTEREY,2018,0.5147
MONTEREY,2019,0.5161
MONTEREY,2020,0.4154
MONTEREY,2021,0.457
MONTEREY,2022,0.5621
MONTEREY,2023,0.5816
MONTEREY,2024,0.593
NAPA,2012,0.2142
NAPA,2013,0.2204
NAPA,2014,0.2229
NAPA,2015,0.2408
NAPA,2016,0.2309
NAPA,2017,0.226
NAPA,2018,0.2236
NAPA,2019,0.2251
NAPA,2020,0.172
NAPA,2021,0.1885
NAPA,2022,0.218
NAPA,2023,0.2314
NAPA,2024,0.2423
NEVADA,2012,0.2437
NEVADA,2013,0.2536
NEVADA,2014,0.267
NEVADA,2015,0.2712
NEVADA,2016,0.2765
NEVADA,2017,0.2533
NEVADA,2018,0.2405
NEVADA,2019,0.2489
NEVADA,2020,0.2186
NEVADA,2021,0.2329
NEVADA,2022,0.2299
NEVADA,2023,0.2572
NEVADA,2024,0.2626
ORANGE,2012,0.3906
ORANGE,2013,0.4325
ORANGE,2014,0.4652
ORANGE,2015,0.4916
ORANGE,2016,0.502
ORANGE,2017,0.4966
ORANGE,2018,0.4855
ORANGE,2019,0.4971
ORANGE,2020,0.3872
ORANGE,2021,0.4232
ORANGE,2022,0.4808
ORANGE,2023,0.5056
ORANGE,2024,0.5222
PLACER,2012,0.7028
PLACER,2013,0.7253
PLACER,2014,0.7783
PLACER,2015,0.8175
PLACER,2016,0.8629
PLACER,2017,0.9183
PLACER,2018,0.945
PLACER,2019,0.9729
PLACER,2020,0.7967
PLACER,2021,0.9364
PLACER,2022,1.0461
PLACER,2023,1.0974
PLACER,2024,1.1241
PLUMAS,2012,0.0423
PLUMAS,2013,0.0408
PLUMAS,2014,0.0441
PLUMAS,2015,0.0474
PLUMAS,2016,0.0522
PLUMAS,2017,0.0507
PLUMAS,2018,0.0513
PLUMAS,2019,0.0513
PLUMAS,2020,0.0414
PLUMAS,2021,0.0437
PLUMAS,2022,0.049
PLUMAS,2023,0.0491
PLUMAS,2024,0.0499
RIVERSIDE,2012,0.5591
RIVERSIDE,2013,0.5456
RIVERSIDE,2014,0.588
RIVERSIDE,2015,0.6441
RIVERSIDE,2016,0.6737
RIVERSIDE,2017,0.6943
RIVERSIDE,2018,0.6835
RIVERSIDE,2019,0.7082
RIVERSIDE,2020,0.5502
RIVERSIDE,2021,0.6074
RIVERSIDE,2022,0.6986
RIVERSIDE,2023,0.7041
RIVERSIDE,2024,0.6959
SACRAMENTO,2012,0.6661
SACRAMENTO,2013,0.6848
SACRAMENTO,2014,0.7552
SACRAMENTO,2015,0.8266
SACRAMENTO,2016,0.9502
SACRAMENTO,2017,0.9675
SACRAMENTO,2018,0.9463
SACRAMENTO,2019,0.9694
SACRAMENTO,2020,0.7712
SACRAMENTO,2021,0.8346
SACRAMENTO,2022,0.8822
SACRAMENTO,2023,0.9496
SACRAMENTO,2024,0.9947
SAN BENITO,2012,0.2017
SAN BENITO,2013,0.2021
SAN BENITO,2014,0.2133
SAN BENITO,2015,0.2379
SAN BENITO,2016,0.2539
SAN BENITO,2017,0.2617
SAN BENITO,2018,0.2578
SAN BENITO,2019,0.2679
SAN BENITO,2020,0.2749
SAN BENITO,2021,0.2761
SAN BENITO,2022,0.298
SAN BENITO,2023,0.3155
SAN BENITO,2024,0.3424
SAN BERNARDINO,2012,0.5365
SAN BERNARDINO,2013,0.5729
SAN BERNARDINO,2014,0.5948
SAN BERNARDINO,2015,0.6219
SAN BERNARDINO,2016,0.6321
SAN BERNARDINO,2017,0.6399
SAN BERNARDINO,2018,0.6329
SAN BERNARDINO,2019,0.6556
SAN BERNARDINO,2020,0.5334
SAN BERNARDINO,2021,0.5367
SAN BERNARDINO,2022,0.5923
SAN BERNARDINO,2023,0.6017
SAN BERNARDINO,2024,0.6211
SAN DIEGO,2012,0.6288
SAN DIEGO,2013,0.6568
SAN DIEGO,2014,0.7052
SAN DIEGO,2015,0.7923
SAN DIEGO,2016,0.7935
SAN DIEGO,2017,0.8133
SAN DIEGO,2018,0.7938
SAN DIEGO,2019,0.792
SAN DIEGO,2020,0.6479
SAN DIEGO,2021,0.7019
SAN DIEGO,2022,0.8213
SAN DIEGO,2023,0.8741
SAN DIEGO,2024,0.9392
SAN FRANCISCO,2012,0.3305
SAN FRANCISCO,2013,0.3319
SAN FRANCISCO,2014,0.3464
SAN FRANCISCO,2015,0.3787
SAN FRANCISCO,2016,0.3809
SAN FRANCISCO,2017,0.3871
SAN FRANCISCO,2018,0.3484
SAN FRANCISCO,2019,0.3703
SAN FRANCISCO,2020,0.2751
SAN FRANCISCO,2021,0.2889
SAN FRANCISCO,2022,0.3231
SAN FRANCISCO,2023,0.3355
SAN FRANCISCO,2024,0.3776
SAN JOAQUIN,2012,0.4921
SAN JOAQUIN,2013,0.5083
SAN JOAQUIN,2014,0.5492
SAN JOAQUIN,2015,0.6061
SAN JOAQUIN,2016,0.647
SAN JOAQUIN,2017,0.6775
SAN JOAQUIN,2018,0.6636
SAN JOAQUIN,2019,0.6795
SAN JOAQUIN,2020,0.5784
SAN JOAQUIN,2021,0.6297
SAN JOAQUIN,2022,0.7082
SAN JOAQUIN,2023,0.7445
SAN JOAQUIN,2024,0.774
SAN LUIS OBISPO,2012,0.2496
SAN LUIS OBISPO,2013,0.2486
SAN LUIS OBISPO,2014,0.2979
SAN LUIS OBISPO,2015,0.3317
SAN LUIS OBISPO,2016,0.3364
SAN LUIS OBISPO,2017,0.3404
SAN LUIS OBISPO,2018,0.3138
SAN LUIS OBISPO,2019,0.3194
SAN LUIS OBISPO,2020,0.2549
SAN LUIS OBISPO,2021,0.2925
SAN LUIS OBISPO,2022,0.3374
SAN LUIS OBISPO,2023,0.3414
SAN LUIS OBISPO,2024,0.3848
SAN MATEO,2012,0.3378
SAN MATEO,2013,0.3398
SAN MATEO,2014,0.3072
SAN MATEO,2015,0.3716
SAN MATEO,2016,0.3722
SAN MATEO,2017,0.3735
SAN MATEO,2018,0.3678
SAN MATEO,2019,0.3724
SAN MATEO,2020,0.2771
SAN MATEO,2021,0.2999
SAN MATEO,2022,0.356
SAN MATEO,2023,0.3842
SAN MATEO,2024,0.395
SANTA BARBARA,2012,0.3419
SANTA BARBARA,2013,0.3622
SANTA BARBARA,2014,0.4046
SANTA BARBARA,2015,0.4416
SANTA BARBARA,2016,0.4409
SANTA BARBARA,2017,0.4389
SANTA BARBARA,2018,0.4171
SANTA BARBARA,2019,0.4137
SANTA BARBARA,2020,0.3175
SANTA BARBARA,2021,0.3499
SANTA BARBARA,2022,0.3881
SANTA BARBARA,2023,0.4091
SANTA BARBARA,2024,0.4368
SANTA CLARA,2012,0.6355
SANTA CLARA,2013,0.6813
SANTA CLARA,2014,0.7253
SANTA CLARA,2015,0.7698
SANTA CLARA,2016,0.7724
SANTA CLARA,2017,0.7723
SANTA CLARA,2018,0.7593
SANTA CLARA,2019,0.7648
SANTA CLARA,2020,0.6088
SANTA CLARA,2021,0.687
SANTA CLARA,2022,0.8247
SANTA CLARA,2023,0.8707
SANTA CLARA,2024,0.8942
SANTA CRUZ,2012,0.4162
SANTA CRUZ,2013,0.4216
SANTA CRUZ,2014,0.4557
SANTA CRUZ,2015,0.5039
SANTA CRUZ,2016,0.5153
SANTA CRUZ,2017,0.5104
SANTA CRUZ,2018,0.5025
SANTA CRUZ,2019,0.5058
SANTA CRUZ,2020,0.3802
SANTA CRUZ,2021,0.4078
SANTA CRUZ,2022,0.4675
SANTA CRUZ,2023,0.484
SANTA CRUZ,2024,0.5208
SHASTA,2012,0.3535
SHASTA,2013,0.367
SHASTA,2014,0.4099
SHASTA,2015,0.4362
SHASTA,2016,0.4238
SHASTA,2017,0.3985
SHASTA,2018,0.3832
SHASTA,2019,0.3784
SHASTA,2020,0.3075
SHASTA,2021,0.3212
SHASTA,2022,0.3333
SHASTA,2023,0.3353
SHASTA,2024,0.3436
SISKIYOU,2012,0.1322
SISKIYOU,2013,0.1324
SISKIYOU,2014,0.1414
SISKIYOU,2015,0.148
SISKIYOU,2016,0.1503
SISKIYOU,2017,0.1405
SISKIYOU,2018,0.1423
SISKIYOU,2019,0.141
SISKIYOU,2020,0.1218
SISKIYOU,2021,0.1302
SISKIYOU,2022,0.1391
SISKIYOU,2023,0.1437
SISKIYOU,2024,0.1505
SOLANO,2012,0.549
SOLANO,2013,0.5685
SOLANO,2014,0.6148
SOLANO,2015,0.6627
SOLANO,2016,0.6697
SOLANO,2017,0.678
SOLANO,2018,0.6741
SOLANO,2019,0.6823
SOLANO,2020,0.5396
SOLANO,2021,0.5999
SOLANO,2022,0.6851
SOLANO,2023,0.6925
SOLANO,2024,0.7015
SONOMA,2012,0.2523
SONOMA,2013,0.2611
SONOMA,2014,0.2433
SONOMA,2015,0.3013
SONOMA,2016,0.3196
SONOMA,2017,0.318
SONOMA,2018,0.3633
SONOMA,2019,0.3631
SONOMA,2020,0.2912
SONOMA,2021,0.3189
SONOMA,2022,0.3589
SONOMA,2023,0.3833
SONOMA,2024,0.4011
STANISLAUS,2012,0.6863
STANISLAUS,2013,0.7116
STANISLAUS,2014,0.7799
STANISLAUS,2015,0.8298
STANISLAUS,2016,0.8403
STANISLAUS,2017,0.8484
STANISLAUS,2018,0.821
STANISLAUS,2019,0.7972
STANISLAUS,2020,0.6491
STANISLAUS,2021,0.7084
STANISLAUS,2022,0.8067
STANISLAUS,2023,0.7763
STANISLAUS,2024,0.7709
TEHAMA,2012,0.3927
TEHAMA,2013,0.3797
TEHAMA,2014,0.3943
TEHAMA,2015,0.4239
TEHAMA,2016,0.4225
TEHAMA,2017,0.4019
TEHAMA,2018,0.4117
TEHAMA,2019,0.4129
TEHAMA,2020,0.336
TEHAMA,2021,0.3676
TEHAMA,2022,0.4016
TEHAMA,2023,0.4077
TEHAMA,2024,0.4185
TRINITY,2012,0.0526
TRINITY,2013,0.0562
TRINITY,2014,0.0606
TRINITY,2015,0.07
TRINITY,2016,0.0636
TRINITY,2017,0.063
TRINITY,2018,0.0597
TRINITY,2019,0.055
TRINITY,2020,0.049
TRINITY,2021,0.0608
TRINITY,2022,0.0604
TRINITY,2023,0.063
TRINITY,2024,0.0749
TULARE,2012,0.6036
TULARE,2013,0.6168
TULARE,2014,0.6366
TULARE,2015,0.6665
TULARE,2016,0.6358
TULARE,2017,0.5966
TULARE,2018,0.4658
TULARE,2019,0.5652
TULARE,2020,0.4624
TULARE,2021,0.5083
TULARE,2022,0.5933
TULARE,2023,0.6248
TULARE,2024,0.6576
TUOLUMNE,2012,0.3182
TUOLUMNE,2013,0.328
TUOLUMNE,2014,0.382
TUOLUMNE,2015,0.418
TUOLUMNE,2016,0.4176
TUOLUMNE,2017,0.4292
TUOLUMNE,2018,0.4237
TUOLUMNE,2019,0.4289
TUOLUMNE,2020,0.3867
TUOLUMNE,2021,0.4101
TUOLUMNE,2022,0.4307
TUOLUMNE,2023,0.4348
TUOLUMNE,2024,0.4542
VENTURA,2012,0.3997
VENTURA,2013,0.4119
VENTURA,2014,0.4381
VENTURA,2015,0.4697
VENTURA,2016,0.4626
VENTURA,2017,0.4667
VENTURA,2018,0.4605
VENTURA,2019,0.4693
VENTURA,2020,0.3541
VENTURA,2021,0.401
VENTURA,2022,0.4921
VENTURA,2023,0.5806
VENTURA,2024,0.6029
YOLO,2012,0.2705
YOLO,2013,0.2852
YOLO,2014,0.3023
YOLO,2015,0.3309
YOLO,2016,0.345
YOLO,2017,0.3418
YOLO,2018,0.3302
YOLO,2019,0.3404
YOLO,2020,0.2777
YOLO,2021,0.3235
YOLO,2022,0.3569
YOLO,2023,0.3998
YOLO,2024,0.4472
YUBA,2012,0.5702
YUBA,2013,0.6253
YUBA,2014,0.6353
YUBA,2015,0.7231
YUBA,2016,0.8133
YUBA,2017,0.8577
YUBA,2018,0.8418
YUBA,2019,0.8512
YUBA,2020,0.7275
YUBA,2021,0.7674
YUBA,2022,0.8822
YUBA,2023,0.8338
YUBA,2024,0.8819
